run_name,gold_primary_tag,real,synthetic,real_n,synthetic_n,diff_syn_minus_real
acl_rr_exp2_abs_nonword_seed3407,[* m:++ed:i],0.5,0.9,2.0,10.0,0.4
acl_rr_exp2_abs_nonword_seed3407,[* m:++ed],1.0,0.7,1.0,10.0,-0.30000000000000004
acl_rr_exp2_abs_nonword_seed3407,[* m:+ed],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_nonword_seed3407,[* m:03s:a],0.9166666666666666,0.8,24.0,10.0,-0.11666666666666659
acl_rr_exp2_abs_nonword_seed3407,[* m:0ed],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_nonword_seed3407,[* m:0ing],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_nonword_seed3407,[* m:0s:a],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_nonword_seed3407,[* m:=ed],0.8076923076923077,0.6,26.0,10.0,-0.20769230769230773
acl_rr_exp2_abs_nonword_seed3407,[* m:allo],1.0,0.7,11.0,10.0,-0.30000000000000004
acl_rr_exp2_abs_nonword_seed3407,[* m:base:ed],0.0,0.9,2.0,10.0,0.9
acl_rr_exp2_abs_nonword_seed3407,[* m:vsg:a],0.5,0.8,2.0,10.0,0.30000000000000004
acl_rr_exp2_abs_nonword_seed3407,[* m:vun:a],1.0,0.9,1.0,10.0,-0.09999999999999998
acl_rr_exp2_abs_nonword_seed3407,[* s:r:der],0.0,1.0,1.0,10.0,1.0
acl_rr_exp2_abs_nonword_seed3407,[* s:r:gc:det],0.0,0.7,2.0,10.0,0.7
acl_rr_exp2_abs_nonword_seed3407,[* s:r:gc:pro],0.7777777777777778,0.9,9.0,10.0,0.12222222222222223
acl_rr_exp2_abs_nonword_seed3407,[* s:r:prep],0.0,0.8,2.0,10.0,0.8
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:++ed:i],0.5,1.0,2.0,10.0,0.5
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:++ed],1.0,0.8,1.0,10.0,-0.19999999999999996
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:+ed],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:03s:a],0.875,0.6,24.0,10.0,-0.275
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:0ed],0.0,0.8,1.0,10.0,0.8
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:0ing],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:0s:a],0.0,0.8,1.0,10.0,0.8
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:=ed],0.8076923076923077,0.7,26.0,10.0,-0.10769230769230775
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:allo],1.0,0.6,11.0,10.0,-0.4
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:base:ed],0.0,0.9,2.0,10.0,0.9
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:vsg:a],0.5,0.8,2.0,10.0,0.30000000000000004
acl_rr_exp2_abs_off_no_recon_seed3407,[* m:vun:a],1.0,1.0,1.0,10.0,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,[* s:r:der],0.0,0.9,1.0,10.0,0.9
acl_rr_exp2_abs_off_no_recon_seed3407,[* s:r:gc:det],0.5,0.7,2.0,10.0,0.19999999999999996
acl_rr_exp2_abs_off_no_recon_seed3407,[* s:r:gc:pro],0.7777777777777778,0.9,9.0,10.0,0.12222222222222223
acl_rr_exp2_abs_off_no_recon_seed3407,[* s:r:prep],0.0,0.8,2.0,10.0,0.8
