split,row_id,labels,review_reason,severity,input,manual_input,output,manual_output,decision,notes
eval_coverage,993,m:+s:a,agreement_collective_or_style_sensitive,medium,The scientific study analyzed each ideas presented by the team .,,The scientific study analyzed each ideas [:: idea] [* m:+s:a] presented by the team .,The scientific study analyzed each ideas [:: idea] [* m:+s] presented by the team .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
eval_coverage,9712,m:vun:a,agreement_collective_or_style_sensitive,medium,She are a very good student in my class .,,She are [:: is] [* m:vun:a] a very good student in my class .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
eval_coverage,9788,m:vsg:a,agreement_collective_or_style_sensitive,medium,The group of researchers was conducting an interview .,,The group of researchers was [:: were] [* m:vsg:a] conducting an interview .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
test_coverage,749,m:vsg:a,agreement_collective_or_style_sensitive,medium,The results of the study was significant .,,The results of the study was [:: were] [* m:vsg:a] significant .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
test_coverage,8584,m:+s:a,agreement_collective_or_style_sensitive,medium,Each scientists has provided a unique perspective on the data .,,Each scientists [:: scientist] [* m:+s:a] has provided a unique perspective on the data .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,717,m:03s:a,agreement_collective_or_style_sensitive,medium,the teacher say no noise in the class .,,the teacher say [:: says] [* m:03s:a] no noise in the class .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,726,m:vsg:a,agreement_collective_or_style_sensitive,medium,The police is coming to help .,,The police is [:: are] [* m:vsg:a] coming to help .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,727,m:vun:a,agreement_collective_or_style_sensitive,medium,My family are very big .,,My family are [:: is] [* m:vun:a] very big .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,748,m:vun:a,agreement_collective_or_style_sensitive,medium,The group of scientists were investigating the site .,,The group of scientists were [:: was] [* m:vun:a] investigating the site .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,750,m:vun:a,agreement_collective_or_style_sensitive,medium,The teacher were explaining the lesson to the class .,,The teacher were [:: was] [* m:vun:a] explaining the lesson to the class .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,755,m:vsg:a,agreement_collective_or_style_sensitive,medium,The data was collected by researchers over several months .,,The data was [:: were] [* m:vsg:a] collected by researchers over several months .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,767,m:vsg:a,agreement_collective_or_style_sensitive,medium,The group of travelers was ready to leave .,The groups of travelers was ready to leave .,The group of travelers was [:: were] [* m:vsg:a] ready to leave .,The groups of travelers was [:: were] [* m:vsg:a] ready to leave .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,944,m:0s:a,agreement_collective_or_style_sensitive,medium,All of student in the class passed the final exam .,,All of student [:: s] [* m:0s:a] in the class passed the final exam .,All of student [:: students] [* m:0s:a] in the class passed the final exam .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,960,m:+s:a,agreement_collective_or_style_sensitive,medium,Every students in the classroom was quiet .,,Every students [:: student] [* m:+s:a] in the classroom was quiet .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,992,m:+s:a,agreement_collective_or_style_sensitive,medium,Every persons in the crowded room stood up at once .,,Every persons [:: person] [* m:+s:a] in the crowded room stood up at once .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,1004,m:+s:a,agreement_collective_or_style_sensitive,medium,Another mens joined the rescue team late last night .,,Another mens [: man] [* m:+s:a] joined the rescue team late last night .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,1516,m:03s:a,agreement_collective_or_style_sensitive,medium,another [/] another ele:phant put [/] put a bandaid on .,,another [/] another ele:phant put [/] put [:: puts] [* m:03s:a] a bandaid on .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,1602,m:+s:a;m:03s:a,agreement_collective_or_style_sensitive,medium,and then her daddy comes along and [/] and put a bandaids on it .,,and then her daddy comes along and [/] and put [:: puts] [* m:03s:a] a bandaids [* m:+s:a] on it .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,5625,m:03s:a,agreement_collective_or_style_sensitive,medium,elephant sit down and get bandaid .,,elephant sit [:: sits] [* m:03s:a] down and get bandaid .,elephant sit [:: sits] [* m:03s:a] down and get [:: gets] [* m:03s:a] bandaid .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,8590,m:+s:a,agreement_collective_or_style_sensitive,medium,The professor looked at that results with great interest .,The professor looked at that one results with great interest .,The professor looked at that results [:: result] [* m:+s:a] with great interest .,The professor looked at that one results [:: result] [* m:+s] with great interest .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,8592,m:+s:a,agreement_collective_or_style_sensitive,medium,The team analyzed each samples that was collected in the field .,,The team analyzed each samples [:: sample] [* m:+s:a] that was collected in the field .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,8596,m:+s:a,agreement_collective_or_style_sensitive,medium,Another options was presented to the committee yesterday .,,Another options [:: option] [* m:+s:a] was presented to the committee yesterday .,Another options [:: option] [* m:+s] was presented to the committee yesterday .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9030,m:0s:a,agreement_collective_or_style_sensitive,medium,The professor gave these researcher their results .,,The professor gave these researcher [:: researchers] [* m:0s:a] their results .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9709,m:vsg:a,agreement_collective_or_style_sensitive,medium,We is very happy with the results .,,We is [:: are] [* m:vsg:a] very happy with the results .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9756,m:vun:a,agreement_collective_or_style_sensitive,medium,The entire family were waiting at the airport for the plane .,,The entire family were [:: was] [* m:vun:a] waiting at the airport for the plane .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9757,m:vsg:a,agreement_collective_or_style_sensitive,medium,The data for the experiment is not reliable enough to publish .,,The data for the experiment is [:: are] [* m:vsg:a] not reliable enough to publish .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9760,m:vun:a,agreement_collective_or_style_sensitive,medium,The group of children have arrived early for the party .,,The group of children have [:: has] [* m:vun:a] arrived early for the party .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9761,m:vsg:a,agreement_collective_or_style_sensitive,medium,The police is investigating the crime scene right now .,,The police is [:: are] [* m:vsg:a] investigating the crime scene right now .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9762,m:vsg:a,agreement_collective_or_style_sensitive,medium,The team of players was practicing on the field today .,The teams of players was practicing on the field today .,The team of players was [:: were] [* m:vsg:a] practicing on the field today .,The teams of players was [:: were] [* m:vsg:a] practicing on the field today .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9765,m:vun:a,agreement_collective_or_style_sensitive,medium,Everyone in the classroom were listening to the lecture .,,Everyone in the classroom were [:: was] [* m:vun:a] listening to the lecture .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9766,m:vsg:a,agreement_collective_or_style_sensitive,medium,The results of the test was better than expected .,,The results of the test was [:: were] [* m:vsg:a] better than expected .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9771,m:vun:a,agreement_collective_or_style_sensitive,medium,The committee were unable to reach a final decision .,,The committee were [:: was] [* m:vun:a] unable to reach a final decision .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9776,m:vun:a,agreement_collective_or_style_sensitive,medium,The staff at the hospital were very helpful to us .,,The staff at the hospital were [:: was] [* m:vun:a] very helpful to us .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9778,m:vsg:a,agreement_collective_or_style_sensitive,medium,The audience was clapping loudly after the performance .,,The audience was [:: were] [* m:vsg:a] clapping loudly after the performance .,The audience was clapping loudly after the performance .,,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9794,m:vsg:a,agreement_collective_or_style_sensitive,medium,The members of the team was happy with the win .,,The members of the team was [:: were] [* m:vsg:a] happy with the win .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9796,m:vun:a,agreement_collective_or_style_sensitive,medium,My teacher have many books in the classroom .,,My teacher have [:: has] [* m:vun:a] many books in the classroom .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9801,m:vun:a,agreement_collective_or_style_sensitive,medium,He were very happy with the results .,,He were [:: was] [* m:vun:a] very happy with the results .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9818,m:vsg:a,agreement_collective_or_style_sensitive,medium,You was late for class .,,You was [:: were] [* m:vsg:a] late for class .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
train,9819,m:vun:a,agreement_collective_or_style_sensitive,medium,She have a big family .,,She have [:: has] [* m:vun:a] a big family .,,correct,"Agreement judgment may vary with collective-noun treatment, dialect, or style."
