system_key,split,n_runs,micro_f1_mean,micro_f1_std,exact_match_mean,exact_match_std
recon_full_comp_nonword_only,eval_coverage,1,0.91678,0.0,0.859459,0.0
recon_full_comp_nonword_only,eval_real,1,0.786885,0.0,0.936139,0.0
recon_full_comp_nonword_only,holdout_generalization,1,0.0,0.0,0.0,0.0
recon_full_comp_nonword_only,test_coverage,1,0.906377,0.0,0.845946,0.0
recon_full_comp_nonword_only,test_real,1,0.771739,0.0,0.934498,0.0
recon_full_comp_preserve_final,eval_coverage,1,0.902606,0.0,0.824324,0.0
recon_full_comp_preserve_final,eval_real,1,0.89011,0.0,0.953556,0.0
recon_full_comp_preserve_final,holdout_generalization,1,0.071661,0.0,0.055838,0.0
recon_full_comp_preserve_final,test_coverage,1,0.932065,0.0,0.827027,0.0
recon_full_comp_preserve_final,test_real,1,0.804348,0.0,0.935953,0.0
