review_id,source_jsonl_path,row_id,file_name,file_path,utterance_index_raw,line_no,speaker,original_speaker,tt_is_target_line,tt_line_confidence,change_type,utterance,tt_annotated_text,correct_utterance
1,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,2388,406_B2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/406_B2.cha,2403,,*CHI,UNK,TRUE,0.95,inline_markup,that day he droom@n back to the car .,that day he droom@n [:: drove] [* m:irr:ed] back to the car.,that day he droom@n back to the car .
2,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5318,407_A2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/407_A2.cha,2311,,*CHI,UNK,TRUE,0.95,inline_markup,and it's taking it to the bench and put a bandaid on it .,and it's taking it to the bench and put [:: puts] [* m:03s:a] a bandaid on it.,and it's taking it to the bench and put [:: puts] [* m:03s:a] a bandaid on it.
3,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,2603,414_B3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/414_B3.cha,983,,*CHI,UNK,TRUE,0.95,inline_markup,then they lived happy ever after .,then they lived happy [:: happily] [* s:r:der] ever after.,then they lived happy [:: happily] [* s:r:der] ever after.
4,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5626,420.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha,114,,*CHI,UNK,TRUE,0.95,inline_markup,the giraffe play with a plane .,the giraffe play [:: plays] [* m:03s:a] with a plane.,the giraffe play [:: plays] [* m:03s:a] with a plane.
5,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5488,421_A3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/421_A3.cha,567,,*CHI,UNK,TRUE,0.95,transcript_normalization,and then they both happy and joyed their selves .,and then they both happy and (en)joyed their selves.,and then they both happy and (en)joyed their selves.
6,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6135,457_A0.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/457_A0.cha,2819,,*CHI,UNK,TRUE,0.95,transcript_normalization,not this one is no more .,(.) not this one is no more.,not this one is no more .
7,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5023,460_A3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/460_A3.cha,1474,,*CHI,UNK,TRUE,0.95,transcript_normalization,or they're both happy .,(.) or they're both happy.,or they're both happy .
8,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6043,461_A2.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/461_A2.cha,2691,,*CHI,UNK,TRUE,0.95,inline_markup,and then they heard a watched .,and then they heard a watched [:: watch] [* m:+ed].,and then they heard a watched .
9,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,5647,463_A0.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/463_A0.cha,1205,,*CHI,UNK,TRUE,0.95,transcript_normalization,and he's gonn buy some cookie dough .,and he's gonn(a) buy some cookie dough.,and he's gonn(a) buy some cookie dough.
10,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/study_02_hitl_adaptation/data/2026-03-23_training-data-auto-annotated/training_zero_error_only_chi.jsonl,6321,465_A3.cha,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/465_A3.cha,1782,,*CHI,UNK,TRUE,0.95,inline_markup,then it flied .,then it flied [: flew] [* m:=ed].,then it flied [: flew] [* m:=ed].
