run_name,experiment,system_key,split,provenance_label,n,exact_text_accuracy,exact_tag_accuracy,primary_tag_accuracy,pred_error_rate,gold_error_rate,syntax_validity_rate
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,holdout_generalization,synthetic,591,0,0,0,0.692047,1,1
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,test_real,DLD,104,0.875,0.913462,0.201923,0.259615,0.230769,1
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,test_real,TD,583,0.931389,0.955403,0.078902,0.104631,0.108062,1
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,eval_coverage,synthetic,370,0.827027,0.875676,0.864865,0.945946,0.972973,1
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,holdout_generalization,synthetic,591,0,0,0,0.554992,1,1
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,test_coverage,synthetic,370,0.854054,0.894595,0.878378,0.948649,0.972973,1
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,test_real,DLD,104,0.903846,0.923077,0.192308,0.25,0.230769,1
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,test_real,TD,583,0.941681,0.962264,0.078902,0.101201,0.108062,1
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,eval_coverage,synthetic,370,0.845946,0.872973,0.856757,0.937838,0.972973,1
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,holdout_generalization,synthetic,591,0,0,0,0.673435,1,1
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,test_coverage,synthetic,370,0.872973,0.883784,0.87027,0.959459,0.972973,1
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,test_real,DLD,104,0.913462,0.932692,0.201923,0.25,0.230769,1
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,test_real,TD,583,0.939966,0.957118,0.077187,0.104631,0.108062,1
acl_rr_exp2_abs_on_manual_seed3407,exp3,acl_rr_exp2_abs_on_manual,holdout_generalization,synthetic,591,0,0,0,0.62775,1,1
acl_rr_exp2_abs_on_manual_seed3407,exp3,acl_rr_exp2_abs_on_manual,test_real,DLD,104,0.875,0.932692,0.201923,0.240385,0.230769,1
acl_rr_exp2_abs_on_manual_seed3407,exp3,acl_rr_exp2_abs_on_manual,test_real,TD,583,0.929674,0.957118,0.077187,0.101201,0.108062,1
acl_rr_exp4_unseen_tags_seed3407,exp4,acl_rr_exp4_unseen_tags,holdout_generalization,synthetic,591,0,0,0,0.632826,1,1
acl_rr_exp4_unseen_tags_seed3407,exp4,acl_rr_exp4_unseen_tags,test_real,DLD,104,0.855769,0.913462,0.201923,0.259615,0.230769,1
acl_rr_exp4_unseen_tags_seed3407,exp4,acl_rr_exp4_unseen_tags,test_real,TD,583,0.933105,0.958834,0.078902,0.101201,0.108062,1
