utterance_id,row_id,source,source_decision,gold_decision,pair_outcome
U001,1960,recon_full_comp_preserve_final_seed3407,correct,incorrect,model_preferred
U002,6123,recon_full_comp_preserve_final_seed3407,invalid_multiple,invalid_multiple,unresolved_review
U003,5080,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U004,4471,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U005,5640,recon_full_comp_preserve_final_seed3407,correct,incorrect,model_preferred
U006,2369,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U007,1485,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U008,1414,recon_full_comp_preserve_final_seed3407,correct,incorrect,model_preferred
U009,1429,recon_full_comp_preserve_final_seed3407,invalid_multiple,invalid_multiple,unresolved_review
U010,4817,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U011,1872,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U012,1830,recon_full_comp_preserve_final_seed3407,invalid_multiple,invalid_multiple,unresolved_review
U013,2207,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U014,6569,recon_full_comp_preserve_final_seed3407,invalid_multiple,incorrect,unresolved_review
U015,2011,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U016,4465,recon_full_comp_preserve_final_seed3407,invalid_multiple,correct,unresolved_review
U017,6415,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U018,3207,recon_full_comp_preserve_final_seed3407,correct,invalid_multiple,unresolved_review
U019,2582,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U020,4771,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U021,4502,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U022,6224,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U023,1343,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U024,1729,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U025,1395,recon_full_comp_preserve_final_seed3407,invalid_multiple,correct,unresolved_review
U026,4757,recon_full_comp_preserve_final_seed3407,invalid_multiple,correct,unresolved_review
U027,4753,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U028,1705,recon_full_comp_preserve_final_seed3407,invalid_multiple,correct,unresolved_review
U029,1841,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U030,1568,recon_full_comp_preserve_final_seed3407,invalid_multiple,correct,unresolved_review
U031,1383,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U032,1762,recon_full_comp_preserve_final_seed3407,correct,incorrect,model_preferred
U033,1928,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U034,1655,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U035,1840,recon_full_comp_preserve_final_seed3407,correct,incorrect,model_preferred
U036,1702,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U037,1751,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U038,1370,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U039,1823,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U040,1282,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U041,1636,recon_full_comp_preserve_final_seed3407,correct,correct,both_acceptable
U042,1874,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U043,4494,recon_full_comp_preserve_final_seed3407,incorrect,correct,gold_preferred
U044,2003,recon_full_comp_preserve_final_seed3407,invalid_multiple,invalid_multiple,unresolved_review
