split,row_id,provenance_label,error_count,input,manual_input,output,manual_output,notes
train,1890,DLD,1,and then he be mad .,,and then he be [* m:03s:a] mad [!] .,and then he be [:: is] [* m:vun:a] mad [!] .,
train,1644,DLD,1,and he swi^mmed .,,and he swi^mmed [* m:=ed] .,and he swi^mmed [:: swimmed] [* m:=ed] .,
train,1598,DLD,1,and then a elephant came and squeezed his .,,and then a [* m:allo] elephant came and squeezed his .,and then a [:: an] [* m:allo] elephant came and squeezed his .,
train,1673,DLD,1,he has a airplane .,,he has a [* m:allo] airplane .,he has a [:: an] [* m:allo] airplane .,
train,1427,DLD,1,the puppy and the kitty goes to work .,,the puppy and the kitty goes [* m:vsg:a] to work .,the puppy and the kitty goes [:: go] [* m:+3s:a] to work .,
train,1612,DLD,1,there's two elephants .,,there's [* m:vsg:a] two elephants .,there's [:: are] [* m:vsg:a] two elephants .,
train,1443,DLD,1,and they drinks juice .,,and they drinks [* m:vsg:a] juice .,and they drinks [:: drink] [* m:+3s:a] juice .,
train,1611,DLD,3,and the zebra don't has a owie .,,and the zebra don't [* m:vun:a] has [* m:+3s] a [* m:allo] owie .,and the zebra don't [:: doesn't] [* m:03s:a] has [:: have] [* m:+3s] a [:: an] [* m:allo] owie .,
train,1428,DLD,1,the puppy and the kitty &+k untied the hands .,,the puppy and the kitty &+k untied the [* s:r:gc:det] hands .,the puppy and the kitty &+k untied the [* s:r:gc:det] hands .,
train,1597,DLD,1,they saw a water !,,they saw a [* s:r:gc:det] water !,they saw a [* s:r:gc:det] water !,
train,1933,DLD,1,they just gather by his hand .,they just gather by his hands .,they just gather by his [* s:r:gc:pro] hand .,they just gather by his [:: their] [* s:r:gc:pro] hands .,correct the input otherwise it's ambiguous
train,1473,DLD,1,him him take one .,,him [* s:r:gc:pro] him take one .,him [:: he] [* s:r:gc:pro] him [:: he] [* s:r:gc:pro] take [:: takes] [* m:03s:a] one .,
train,1404,DLD,2,this is a bunny and a dog .,,this [* s:r:gc:pro] is [* m:vsg:a] a bunny and a dog .,this [:: these] [* s:r:gc:pro] is [:: are] [* m:vsg:a] a bunny and a dog .,
train,1855,TD,1,and he is gonna eat them because he shouldn't paid for them .,,and he is gonna eat them because he shouldn't paid [* m:+ed] for them .,and he is gonna eat them because he shouldn't paid [:: pay] [* m:+ed] for them .,
train,1638,TD,1,all of them are opened .,,all of them are opened [* m:+ed] .,all of them are opened [:: open] [* m:+ed] .,
train,1730,TD,1,that's my daddy's friend name .,,that's my daddy's friend [* m:0's] name.,that's my daddy's friend [:: friend's] [* m:0's] name.,
train,1809,TD,2,then the cow went in the water and trying to get it .,,then the cow went in the water and trying [* m:0ed] [* m:+ing] to get it .,then the cow went in the water and trying [:: tried] [* m:0ed] [* m:+ing] to get it .,
train,1540,TD,1,a man is telling him where the cookie are .,,a man is telling him where the cookie [* m:0s:a] are .,a man is telling him where the cookie [:: cookie] [* m:0s:a] are .,
train,1808,TD,1,and I was so surprised because I got some candy .,,and I was so surprised because I got some candy [* m:0s:a] .,and I was so surprised because I got some candy [:: candies] [* m:0s:a] .,
train,1409,TD,2,and it almost blowed away off the wagon .,,and it almost blowed [* m:=ed] away off [* s:r:prep] the wagon .,and it almost blowed [:: blew] [* m:=ed] away off [* s:r:prep] the wagon .,
train,1692,TD,2,a elephant and a giraffe with a airplane in the water .,,a [* m:allo] elephant and a giraffe with a [* m:allo] airplane in the water .,a [:: an] [* m:allo] elephant and a giraffe with a [:: an] [* m:allo] airplane in the water .,
train,1787,TD,1,he was playing with a airplane .,,he was playing with a [* m:allo] airplane .,he was playing with a [:: an] [* m:allo] airplane .,
train,1660,TD,1,and he was flying a airplane .,,and he was flying a [* m:allo] airplane .,and he was flying a [:: an] [* m:allo] airplane .,
train,1554,TD,1,a elephant is going to his friend .,,a [* m:allo] elephant is going to his friend .,a [:: an] [* m:allo] elephant is going to his friend .,
train,1650,TD,1,he found a orange in the water .,,he found a [* m:allo] orange in the water .,he found a [:: an] [* m:allo] orange in the water .,
train,2843,TD,1,then he got big like a old ma:n .,,then he got big like a [* m:allo] old ma:n .,then he got big like a [:: an] [* m:allo] old ma:n .,
train,6441,TD,1,she was just teasing that she had a owie .,,she was just teasing that she had a [* m:allo] owie .,she was just teasing that she had a [:: an] [* m:allo] owie .,
train,1765,TD,1,then a elephant came and fix her .,,then a [* m:allo] elephant came and fix her .,then a [:: an] [* m:allo] elephant came and fix her .,
train,1479,TD,1,I found a airplane .,,I found a [* m:allo] airplane .,I found a [:: an] [* m:allo] airplane .,
train,1460,TD,1,then suddenly he wanted a other one .,,then suddenly he wanted a [* m:allo] other [!] one .,then suddenly he wanted a [:: an] [* m:allo] other [!] one .,
train,1816,TD,1,a elephant and a cow .,,a [* m:allo] elephant and a cow .,a [:: an] [* m:allo] elephant and a cow .,
train,1336,TD,1,and then the bunny saw what he &+s has done to his friend's sandcastle .,,and then the bunny saw what he &+s has [* m:base:ed] done to his friend's sandcastle .,and then the bunny saw what he &+s has [:: had] [* m:base:ed] done to his friend's sandcastle .,
train,1494,TD,1,and she was afraid that she'll hurt herself .,,and she was afraid that she'll [* m:base:ed] hurt herself .,and she was afraid that she'll [:: would] [* m:base:ed] hurt herself .,
train,1723,TD,1,and she's almost going to slip down when she was running .,,and she's [* m:base:ed] almost going to slip down when she was running .,and she's [:: was] [* m:base:ed] almost going to slip down when she was running .,
train,1266,TD,1,(..) and &-um the doggy pulled her over to where the bunny is .,,(..) and &-um the doggy pulled her over to where the bunny is [* m:base:ed] .,(..) and &-um the doggy pulled her over to where the bunny is [:: was] [* m:base:ed] .,
train,1894,TD,1,said look there's those balloons .,,said look there's [* m:vsg:a] those balloons .,said look there's [:: are] [* m:vsg:a] those balloons .,
train,1898,TD,1,and then there's two left .,,and then there's [* m:vsg:a] two left .,and then there's [:: are] [* m:vsg:a] two left .,
train,1667,TD,1,and the elephant girl kid smile .,,and the elephant girl kid smile [* m:vun:a] .,and the elephant girl kid smile [:: smiles] [* m:03s:a] .,
train,1967,TD,1,there's so much ones about them at the diving pool &=laughs .,,there's so much [* s:r:gc:det] ones about them at the diving pool &=laughs .,there's so much [* s:r:gc:det] ones about them at the diving pool &=laughs .,
train,1862,TD,1,and then they saw something in^side a water .,,and then they saw something in^side a [* s:r:gc:det] water .,and then they saw something in^side a [* s:r:gc:det] water .,
train,1881,TD,1,and it got &-um a thing what you catch fish with .,,and it got &-um a thing what [* s:r:gc:pro] you catch fish with .,and it got &-um a thing what [:: that] [* s:r:gc:pro] you catch fish with .,
train,1686,TD,1,and he hurt her knee .,,and he [* s:r:gc:pro] hurt her knee .,and he hurt [:: hurts] [* m:03s:a] her [:: his] [* s:r:gc:pro] knee .,and he [:: she] [* s:r:gc:pro] hurt [:: hurts] [* m:03s:a] her  knee . BOT CORRECT
train,1900,TD,1,one's shy on the picture .,,one's shy on [* s:r:prep] the picture .,one's shy on [:: in] [* s:r:prep] the picture .,
train,175,synthetic,1,He can swims fast .,,He can swims [* m:+3s:a] fast .,He can swims [:: swim] [* m:+3s] fast .,
train,7912,synthetic,1,Why does they wants to leave the party so early ?,,Why does [* m:+3s:a] they want to leave the party so early ?,Why does [:: do] [* m:+3s:a] they want to leave the party so early ?,
train,162,synthetic,1,They has a new car in the driveway .,,They has [* m:+3s:a] a new car in the driveway .,They has [:: have] [* m:vsg:a] a new car in the driveway .,
train,170,synthetic,1,You has a big blue toy .,,You has [* m:+3s:a] a big blue toy .,You has [:: have] [* m:vsg:a] a big blue toy .,
train,7880,synthetic,1,They has got it .,,They has [* m:+3s:a] got it .,They has [:: have] [* m:vsg:a] got it .,
train,171,synthetic,1,Them knows my name .,,Them knows [* m:+3s:a] my name .,Them [:: they] [* s:r:gc:pro] knows [:: know] [* m:+3s:a] my name .,
train,167,synthetic,1,They don't has it .,,They don't has [* m:+3s:a] it .,They don't has [:: have] [* m:vsg:a] it .,
train,7913,synthetic,1,does I looks okay in this new suit ?,,does [* m:+3s:a] I looks okay in this new suit ?,does [:: do] [* m:+3s:a] I looks [* m:+3s] okay in this new suit ?,
train,7852,synthetic,1,he to finds it .,,he to finds [* m:+3s] it .,he to finds [:: find] [* m:+3s] it .,
train,7796,synthetic,1,He doesn't has a pen for the exam .,,He doesn't has [* m:+3s] a pen for the exam .,He doesn't has [:: have] [* m:+3s] a pen for the exam .,
train,7872,synthetic,1,She will stays in the library all night .,,She will stays [* m:+3s] in the library all night .,She will stays [:: stay] [* m:+3s] in the library all night .,
train,146,synthetic,1,The boy want to finds his missing toy in the garden .,,The boy wants to finds [* m:+3s] his missing toy in the garden .,The boy wants to finds [:: find] [* m:+3s] his missing toy in the garden .,
train,150,synthetic,1,He must goes to the hospital immediately .,,He must goes [* m:+3s] to the hospital immediately .,He must goes [:: go] [* m:+3s] to the hospital immediately .,
train,1579,synthetic,1,going picks some cookies .,,going picks [* m:+3s] some cookies .,going picks [:: pick] [* m:+3s] some cookies .,
train,144,synthetic,1,She should has finished the assignment before the deadline .,,She should has [* m:+3s] finished the assignment before the deadline .,She should has [:: have] [* m:+3s] finished the assignment before the deadline .,
train,7792,synthetic,1,He should stays at school until five .,,He should stays [* m:+3s] at school until five .,He should stays [:: stay] [* m:+3s] at school until five .,
train,7722,synthetic,1,me can played .,,me can played [* m:+ed] .,me can played [:: play] [* m:+ed] .,
train,96,synthetic,1,The scientist needs to observed the cells under a microscope .,,The scientist needs to observed [* m:+ed] the cells under a microscope .,The scientist needs to observed [:: observe] [* m:+ed] the cells under a microscope .,
train,7710,synthetic,1,Do you talked to her ?,,Do you talked [* m:+ed] to her ?,Do you talked [:: talk] [* m:+ed] to her ?,
train,7775,synthetic,1,"Every week , the group listened to the music together .",,"Every week , the group listened [* m:+ed] to the music together .","Every week , the group listened [:: listen] [* m:+ed] to the music together .",
train,1599,synthetic,1,how about we jumped in the swimming pool ?,,how about we jumped [* m:+ed] in the swimming pool ?,how about we jumped [:: jumped] [* m:+ed] in the swimming pool ?,
train,7746,synthetic,1,Every day I worked at the store .,,Every day I worked [* m:+ed] at the store .,Every day I worked [:: work] [* m:+ed] at the store .,
train,7731,synthetic,1,The author does not wanted to change the ending .,,The author does not wanted [* m:+ed] to change the ending .,The author does not wanted [:: want] [* m:+ed] to change the ending .,
train,7736,synthetic,1,Every morning she walked her dog at six o'clock .,,Every morning she walked [* m:+ed] her dog at six o'clock .,Every morning she walked [:: walk] [* m:+ed] her dog at six o'clock .,
train,7788,synthetic,1,The scientist wants to observed the stars tonight .,,The scientist wants to observed [* m:+ed] the stars tonight .,The scientist wants to observed [:: observe] [* m:+ed] the stars tonight .,
train,7724,synthetic,1,he to opened .,,he to opened [* m:+ed] .,he to opened [:: open] [* m:+ed] .,
train,7751,synthetic,1,Does she played tennis every week ?,,Does she played [* m:+ed] tennis every week ?,Does she played [:: play] [* m:+ed] tennis every week ?,
train,7698,synthetic,1,They do not liked it .,,They do not liked [* m:+ed] it .,They do not liked [:: like] [* m:+ed] it .,
train,7779,synthetic,1,"Each afternoon , the boy played with his friends in the garden .",,"Each afternoon , the boy played [* m:+ed] with his friends in the garden .","Each afternoon , the boy played [:: playe] [* m:+ed] with his friends in the garden .",
train,90,synthetic,1,The doctor will examined the patient later today .,,The doctor will examined [* m:+ed] the patient later today .,The doctor will examined [:: examined] [* m:+ed] the patient later today .,
train,7784,synthetic,1,"Usually , the teacher talked for an hour before the break .",,"Usually , the teacher talked [* m:+ed] for an hour before the break .","Usually , the teacher talked [:: talk] [* m:+ed] for an hour before the break .",
train,7771,synthetic,1,"Every morning , the student walked to the library to study .",,"Every morning , the student walked [* m:+ed] to the library to study .","Every morning , the student walked [:: walk] [* m:+ed] to the library to study .",
train,7728,synthetic,1,The explorer wants to discovered the lost city .,,The explorer wants to discovered [* m:+ed] the lost city .,The explorer wants to discovered [:: discovere] [* m:+ed] the lost city .,
train,7770,synthetic,1,played every day .,,played [* m:+ed] every day .,played [:: play] [* m:+ed] every day .,
train,255,synthetic,1,He is having a big house in the city .,,He is having [* m:+ing] a big house in the city .,He is having [:: has] [* m:+ing] a big house in the city .,
train,10301,synthetic,1,The girl is having a new toy train .,,The girl is having [* m:+ing] a new toy train .,The girl is having [:: has] [* m:+ing] a new toy train .,
train,269,synthetic,1,Dog having ball .,,Dog having [* m:+ing] ball .,Dog having [:: has] [* m:+ing] ball .,
train,10297,synthetic,1,Mommy is loving the red flower .,,Mommy is loving [* m:+ing] the red flower .,Mommy is loving [:: loves] [* m:+ing] the red flower .,
train,272,synthetic,2,They loving cat .,,They loving [* m:+ing] cat [* m:0s:a] .,They loving [:: love] [* m:+ing] cat [:: cats] [* m:0s:a] .,
train,8557,synthetic,1,I have seen another movies by this director .,,I have seen another movies [* m:+s:a] by this director .,I have seen another movies [:: movie] [* m:+s:a] by this director .,
train,8597,synthetic,1,He handed the one travelers his map .,,He handed the one travelers [* m:+s:a] his map .,He handed the one travelers [:: traveler] [* m:+s:a] his map .,
train,8600,synthetic,1,She gave another children the blue balloon .,,She gave another children [* m:+s:a] the blue balloon .,She gave another children [:: child] [* m:+s:a] the blue balloon .,
train,963,synthetic,1,He is a hard workers at the factory .,,He is a hard workers [* m:+s:a] at the factory .,He is a hard workers [:: worker] [* m:+s:a] at the factory .,
