status,file_name,input_text,output_text
insufficient_story_matches,403.cha,"and then [/] then they were xxx whos goes first .","and then [/] then they were xxx whos [: who] [* m:allo] goes first ."
unmatched_story,404.cha,"this guy was very mad .","this guy was very mad ."
unmatched_story,404.cha,"I don't know .","I don't know ."
insufficient_story_matches,415.cha,"and he hurt her knee .","and he hurt [:: hurts] [* m:03s:a] her [:: his] [* s:r:gc:pro] knee ."
insufficient_story_matches,421.cha,"and then they both happy and joyed their selves .","and then they both happy and (en)joyed their selves."
insufficient_story_matches,423.cha,"there was a moo@o .","there was a moo@o ."
ambiguous_repeated_input,452.cha,"a elephant and a giraffe with a airplane in the water .","a [:: an] [* m:allo] elephant and a giraffe with a [:: an] [* m:allo] airplane in the water ."
insufficient_story_matches,463.cha,"and he's gonn buy some cookie dough .","and he's gonn(a) buy some cookie dough."
insufficient_story_matches,472.cha,"the giraffe tried to took it because the ele .","the giraffe tried to took it because the ele(phant) ."
insufficient_story_matches,480.cha,"and see this man can t catch us .","and see this man can't catch us ."
insufficient_story_matches,502.cha,"and he &+s cided to get it .","and he &+s cided to get it ."
insufficient_story_matches,502.cha,"and it blowed away .","and it blowed [: blew] [* m:=ed] away ."
insufficient_story_matches,506.cha,"her dad was &-um so happy at her friend .","her dad was &-um so happy at [:: for] [* s:r:prep] her friend ."
insufficient_story_matches,506.cha,"and then they drive in through the water .","and then they drive [: drove] [* m:=ed] in through the water ."
unmatched_story,510.cha,"so Emily and the lifeguard and &+ju Michael were walking her home .","(.) so Emily and the lifeguard and &+ju Michael were walking her home ."
insufficient_story_matches,510.cha,"Michael was so upset about Emily dropped the plane in the water .","(.) Michael was so upset about Emily dropped the plane in the water ."
insufficient_story_matches,518.cha,"and then it wa getting shorter and shorter .","and then it wa(s) getting shorter and shorter."
unmatched_story,523.cha,"so your husband too .","so your husband too ."
insufficient_story_matches,523.cha,"a doctor is listenig .","a doctor is listenig ."
unmatched_story,524.cha,"and then her went back to her friends .","and then her [:: she] [* s:r:gc:pro] went back to her friends."
unmatched_story,524.cha,"when he was going to play at the park the bunny went an touched the balloon .","when he was going to play at the park the bunny went an(d) touched the balloon."
unmatched_story,529.cha,"little boy bought the cookies .","little boy bought the cookies ."
unmatched_story,529.cha,"and the man the &-um man was mad at the boy .","and the man the &-um man was mad at the boy ."
ambiguous_repeated_input,536.cha,"and she catched it .","and she catched [: caught] [* m:=ed] it ."
unmatched_story,551.cha,"and he was going to get some milk .","and he was going to get some milk ."
unmatched_story,568.cha,"the elephant is playing basball .","the elephant is playing bas(ket)ball."
insufficient_story_matches,570.cha,"and &-um &+an &+an and the dog the dog's bunny's father I mean the dog the no the doctor the dog runned for the doctor and said doctor doctor the rubby tummy's the bunny's tummy's full !","and &-um &+an &+an and the dog the dog's bunny's father I mean the dog the no the doctor the dog runned [: ran] [* m:=ed] for the doctor and said doctor doctor the rubby tummy's the bunny's tummy's full !"
insufficient_story_matches,572.cha,"they just gather by his hands .","they just gather by his [:: their] [* s:r:gc:pro] hands ."
