split,seed,row_id,input,gold,nonword_only,preserve,gold_tags,nonword_only_tags,preserve_tags
test_real,3407,1293,and they runned !,and they runned [: ran] [* m:=ed] !,and they runned [: ran] [* m:++en:i] !,and they runned [: ran] [* m:=ed] !,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3407,1308,then her bunny comed .,then her bunny comed [: came] [* m:=ed] .,then her bunny comed [: came] [* m:++en:i] .,then her bunny comed [: came] [* m:=ed] .,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3407,1429,and the puppy and the &+ki kitty and the is sick .,and the puppy and the &+ki kitty and the is [* m:vsg:a] sick .,and the puppy and the &-ki &+kitty and the is sick .,and the puppy and the &-ki kitty and the is [:: are] [* m:vsg:a] sick .,[* m:vsg:a],,[* m:vsg:a]
test_real,3407,1477,and then she and then he flied it .,and then she and then he flied [: flew] [* m:=ed] it .,and then she and then he flied [: flew] [* m:++en:i] it .,and then she and then he flied [: flew] [* m:=ed] it .,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3407,1629,then he falled in the water .,then he falled [: fell] [* m:=ed] in the water .,then he falled [: fell] [* m:=en] in the water .,then he falled [: fell] [* m:=ed] in the water .,[* m:=ed],[* m:=en],[* m:=ed]
test_real,3407,1645,and he swimmed .,and he swimmed [: swam] [* m:=ed] .,and he swimmed [: swam] [* m:++en:i] .,and he swimmed [: swam] [* m:=ed] .,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3407,1753,and the elephant blowed water .,and the elephant blowed [: blew] [* m:=ed] water .,and the elephant blowed [: blew] [* m:++en:i] water .,and the elephant blowed [: blew] [* m:=ed] water .,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3407,1769,(.) and then his mom comed put a bandaid on her .,(.) and then his mom comed [: came] [* m:=ed] put a bandaid on her .,(.) and then his mom comed [: came] [* m:++en:i] put a bandaid on her .,(.) and then his mom comed [: came] [* m:=ed] put a bandaid on her .,[* m:=ed],[* m:++en:i],[* m:=ed]
test_real,3407,1885,and then &-um a girl elephant comed .,and then &-um a girl elephant comed [: came] [* m:=ed] .,and then &-um a girl elephant comed .,and then &-um a girl elephant comed [: came] [* m:=ed] .,[* m:=ed],,[* m:=ed]
test_real,3407,1927,she say .,she say [* m:03s:a] .,she say .,she say [:: said] [* m:03s:a] .,[* m:03s:a],,[* m:03s:a]
test_real,3407,1952,so he pushed go that way .,so he pushed go that way .,so he pushed go [* m:03s:a] that way .,so he pushed go that way .,,[* m:03s:a],
