row_id,input,reannotated_output,notes
5015,and what happened ?,,
4727,what's this ?,,
4152,and now the sandcastles is ruined .,,
4113,&-um sandcastle .,,
4730,it's all fell down .,,
6122,and see this man can t catch us .,,
3819,and the rabbit and the dog see lots of balloons and lots .,,
6035,and see and this is done .,,
4724,and &-um the man said he didn't have any money .,,
3764,and more sand .,,
5075,and the box fell down .,,
4546,and thank you .,,
4974,they're fast !,,
3453,that was a good one .,,
6145,and he got no blood .,,
3660,and he still has a tummyache !,,
2160,then oh &+wa lots of balloons today .,,
4195,and a bunny his tummy hurts .,,
5016,he's hurt .,,
4448,the airplane .,,
3248,and then it went down .,,
2562,and they all had two balloons .,,
4384,and over .,,
5624,elephant lose his eye .,,
4005,and then they see it .,,
4855,what's that sound ?,,
4816,and the elephant fell .,,
3866,uhoh he dropped the balloons .,,
3970,I said juice .,,
4638,the elephant said wow !,,
5528,I can't remember .,,
4120,is all done .,,
3247,and then the bunny put sand on and make it worse .,,
5527,I can't remember this one .,,
5627,the elephant dropped the plane in the water .,,
4566,little boy bought the cookies .,,
6610,she wants to get it and like her .,,
5591,and there's one in the swimming pool .,,
4142,oops sorry .,,
4023,and then the other one popped .,,
5020,mad Firstname .,,
4357,and the doctor said okay .,,
3664,he said he has a fever .,,
3600,said no .,,
5590,&+mmm &-like the moose is trying to get the balls in the swimming pool .,,
3971,&-um tree .,,
4952,and there's water .,,
5338,so the horse is so mad .,,
5635,that rabbit going get the balloon .,,
1873,and then it's not allowed to go in the swimming pool with the bandaid .,,
2799,and the rabbit said &-um not sorry .,,
3308,can you get it for us ?,,
4064,the kitty and the dog go to eat their lunch .,,
2668,and see the rabbit's hungry .,,
4808,and then they start .,,
4780,and we did find the airplane !,,
4637,and the elephant's doing this !,,
3613,and he walked .,,
2162,and they saw more balloons .,,
2371,he just got a tummy:ache .,,
5059,it's going in the store .,,
5634,that rabbit going take him to the hospital .,,
3306,our balloon is way up .,,
3304,and then he was going to take it off .,,
4376,and hold that up higher .,,
4093,and then he wrecked it !,,
5103,don't know .,,
1576,see a garden .,,
2669,and the dog's not too full .,,
4062,this is +//.,,
4063,the dog and the kitty go sh:opping .,,
5530,and the man is mad .,,
6465,he said hi .,,
3868,and then he went .,,
4171,they play in the sandbox .,,
4451,&-uh got the plane back .,,
3902,yeah &-uh lots of balloons .,,
4726,he has to ask .,,
6033,he got little arm .,,
4713,he's gonna pick them up .,,
4540,you get it .,,
3661,and he's still growling .,,
3575,all done .,,
3850,balloon is happy .,,
5045,a need up .,,
3968,I said a carrot that's it .,,
3907,one balloon .,,
4123,he's making a san:dcastle .,,
4033,and so the dog is eating .,,
5060,and the boy's running .,,
4018,if it's hanging on .,,
4567,and the man the &-um man was mad at the boy .,,
6410,and he's so happy .,,
4820,time again .,,
2366,he waved at bunny .,,
4723,this kid went to the store .,,
4729,oh it's all so bad .,,
3658,they wanna go to a picnic .,,
4006,they wanna get it to the sand .,,
5490,and the elephant wants to go there .,,
2555,and he gets the balloon .,,
5154,&-uh tea with mom .,,
2272,they fix it up .,,
4377,and up higher .,,
6564,that boy was happy .,,
6031,and see the giraffe is sorry to take the elephant .,,
4810,the guy was behind him .,,
5593,and he fell .,,
2025,he pushed them in .,,
5012,and I turn the page .,,
3859,what does it say ?,,
6467,then that rock is falling !,,
4962,"+, sky .",,
5626,the giraffe play with a plane .,,
5622,elephant hurt his leg .,,
4505,now he can't reach it .,,
4024,and then another one .,,
6120,and see a long time the elephant said sorry !,,
6647,he went in the foods shop .,,
4703,a horse .,,
6565,and that looks mad .,,
2372,then she feels all better .,,
4122,I see a bu^nny and a sandcastle and a sandbox and a dog .,,
6764,and she was still happy .,,
3666,they're having food .,,
3670,&-uh he's the doctor .,,
4034,and the bunny rabbit is tired .,,
6409,and that airplane works !,,
4822,the horse said .,,
5639,look at his pants .,,
4699,zebra and elephant .,,
3610,some more balloons .,,
2645,and see ?,,
1577,see a see a water .,,
5089,the elephant is playing basball .,,
4538,and dad .,,
6650,he touched the cookie: .,,
3249,yeah that's a sad one .,,
4008,and then the other balloon fell in the sky .,,
5620,the giraffe gotta get out_of that pool .,,
5629,and that rabbit making a sandcastle too .,,
4956,is that her mother ?,,
6146,he got a bandaid .,,
4030,it's the rabbit and a dog .,,
4725,he can't steal .,,
4028,the guy can't see .,,
3305,and then the bunny said can we have another balloon ?,,
4811,and he starts running .,,
6149,well this is +...,,
2649,and the dog will catch it mhm .,,
3854,he can sit down and sit with the balloon and the wagon .,,
4009,balloons can fly in the sky when it's windy (be)cause it's not heavy .,,
1959,pop wowie puppy be (s)nowing .,,
6214,&-uh and he'll say youch !,,
4092,it's lots of sand !,,
3898,fly away balloon .,,
4114,sandcastle and puppy and bunny .,,
5289,and &-eh go back home .,,
5241,and the teacher said you have a s:wim .,,
4354,and he said five dollars .,,
6216,he has a boo_boo .,,
3755,that means pour .,,
4953,she's gotta go in first .,,
3820,and we'll try and like it .,,
3246,and then the bunny &+w helped .,,
3867,he's gotta hold on to the balloon .,,
2225,then he messed it up for him .,,
5196,&-uh he's flying with the airplane .,,
4728,some eggs .,,
4633,do you know about the elephants ?,,
3973,there we go .,,
2798,and the dog is sad .,,
5242,you have to sit there .,,
2367,and they eat some snacks .,,
6399,it doesn't fly .,,
4539,I get it .,,
4960,what's his long +/.,,
4115,they're making it again .,,
5594,and he did it .,,
4250,I got money .,,
3846,it's fun .,,
6652,and one more page .,,
3683,a ma^t .,,
4003,&-um the guy went with the pail .,,
4632,he &+s makes lots of noise .,,
4382,and balloon .,,
4821,there's time is swimming pool in the lion and water .,,
5489,elephant wants to &+g jump in the swimming pool .,,
3751,&-um there is a castle .,,
6678,then it was so better in the bandaid .,,
4591,the boy wants some cookies .,,
3863,they're going to get a balloon .,,
4954,he's gotta go in first .,,
6760,then she was so happy to get &-uh her airplane .,,
2561,and they tell him again .,,
5197,it's inside the water .,,
4450,another elephant came along and got a net !,,
4964,he was gonna catch it .,,
4620,let's go try again !,,
2020,a letter !,,
3853,and that's the bunny and a wagon and a dog .,,
4126,he's scared .,,
4971,that's a long one .,,
6468,and he gave that rock .,,
6762,then she wants it .,,
6783,and then he loved it ever after .,,
6148,and this .,,
3852,maybe yellow I think .,,
2270,a bunny loves the dog .,,
5243,he said go .,,
5619,I saw giraffe swimming in the pool to get that ball .,,
4019,and the other guy was sad .,,
3845,balloon that a big .,,
4970,the helicopter sneaked down !,,
4119,that his friend .,,
4380,and talk .,,
4383,and two balloons .,,
4708,the dot's a line .,,
4830,but he needs to reach it .,,
5019,and he's mad !,,
4121,it's fu:ll .,,
3757,he made another one .,,
5288,&-uh girl .,,
4856,what's that sound in there ?,,
3737,&-uh more throwing it on .,,
1299,okay the rabbit's having a picnink .,,
3869,and he was playing with the sand .,,
2199,and then .,,
4506,&+an and he got the net .,,
6759,and she got it in the airplane .,,
4854,&-uh it's on .,,
4022,the last one .,,
4017,it can fly with it .,,
4941,no zebra .,,
4842,&=growls I got it .,,
