run_name,experiment,split,gold,pred,count,rate_within_gold,gold_support
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:03s:a],[* m:03s:a],21,0.875,24
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:=ed],[* m:=ed],21,0.807692,26
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:allo],[* m:allo],11,1.0,11
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* s:r:gc:pro],[* s:r:gc:pro],7,0.777778,9
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:=ed],[* m:=en],2,0.076923,26
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* s:r:prep],<none>,2,1.0,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:=ed],<none>,2,0.076923,26
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* s:r:gc:pro],<none>,2,0.222222,9
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:vsg:a],<none>,1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* s:r:gc:det],[* m:03s:a],1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:++ed:i],[* m:++ed:i],1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:++ed:i],[* m:++ed],1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:++ed],[* m:++ed],1,1.0,1
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:+ed],<none>,1,1.0,1
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:03s:a],[* s:r:prep],1,0.041667,24
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:03s:a],[* m:base:ed],1,0.041667,24
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:03s:a],<none>,1,0.041667,24
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:0ed],[* m:0ing],1,1.0,1
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:0ing],<none>,1,1.0,1
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:0s:a],[* m:base:ed],1,1.0,1
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:=ed],[* m:base:ed],1,0.038462,26
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:base:ed],<none>,1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:base:ed],[* m:base:ed],1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:vsg:a],[* m:vsg:a],1,0.5,2
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:vun:a],[* m:vun:a],1,1.0,1
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* s:r:gc:pro],[* s:r:gc:pro],12,0.923077,13
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:++en:i],[* m:++en:i],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:++s],[* m:++s],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:+3s],[* m:+3s],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:+en],[* m:+en],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:+s:a],[* m:+s:a],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:0's],[* m:0's],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:0ing],[* m:0ing],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:=en],[* m:=en],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:allo],[* m:allo],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:base:en],[* m:base:en],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:base:er],[* m:base:er],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:base:est],[* m:base:est],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:irr:ed],[* m:irr:ed],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:irr:en],[* m:irr:en],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:irr:s],[* m:irr:s],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:sub:ed],[* m:sub:ed],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:sub:en],[* m:sub:en],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* s:r:der],[* s:r:der],10,1.0,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:++ed:i],[* m:++ed:i],9,0.9,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:++ed],[* m:++ed],9,0.9,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:+ed],[* m:+ed],9,0.9,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:+ing],[* m:+ing],9,0.9,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:0s:a],[* m:0s:a],9,0.9,10
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:=ed],[* m:=ed],9,0.9,10
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0er],<none>,133,0.917241,145
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++er],[* m:base:er],122,0.802632,152
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++est],[* m:base:est],122,0.865248,141
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0est],<none>,122,0.813333,150
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0est],[* m:base:est],27,0.18,150
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++er],[* m:++er],18,0.118421,152
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++est],[* m:++est],15,0.106383,141
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++er],<none>,7,0.046053,152
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++er],[* s:r:der],5,0.032895,152
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0er],[* m:base:er],5,0.034483,145
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0er],[* s:r:prep],4,0.027586,145
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++est],[* m:++ed],3,0.021277,141
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++est:i],[* m:base:est],3,1.0,3
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0er],[* s:r:der],3,0.02069,145
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:0est],[* s:r:der],1,0.006667,150
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:++est],[* m:++est:i],1,0.007092,141
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:03s:a],[* m:03s:a],22,0.916667,24
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:=ed],[* m:=ed],20,0.769231,26
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:allo],[* m:allo],11,1.0,11
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* s:r:gc:pro],[* s:r:gc:pro],6,0.666667,9
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:=ed],<none>,3,0.115385,26
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:=ed],[* m:=en],2,0.076923,26
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* s:r:gc:det],<none>,2,1.0,2
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* s:r:prep],<none>,2,1.0,2
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:vsg:a],<none>,1,0.5,2
