run_name,split,gold_primary_tag,n,acc
acl_rr_exp1_direct_stage3_seed3407,holdout_generalization,[* m:++er],152,0.0
acl_rr_exp1_direct_stage3_seed3407,holdout_generalization,[* m:++est],144,0.0
acl_rr_exp1_direct_stage3_seed3407,holdout_generalization,[* m:0er],145,0.0
acl_rr_exp1_direct_stage3_seed3407,holdout_generalization,[* m:0est],150,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:++ed:i],2,0.5
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:++ed],1,1.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:+ed],1,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:03s:a],24,0.9166666666666666
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:0ed],1,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:0ing],1,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:0s:a],1,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:=ed],26,0.8461538461538461
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:allo],11,1.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:base:ed],2,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:vsg:a],2,0.5
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:vun:a],1,1.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* s:r:der],1,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* s:r:gc:det],2,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,[* s:r:gc:pro],9,0.6666666666666666
acl_rr_exp1_direct_stage3_seed3407,test_real,[* s:r:prep],2,0.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:++ed:i],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:++ed],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:++en:i],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:++s:i],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:++s],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:+3s:a],10,0.6
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:+3s],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:+ed],10,0.8
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:+en],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:+ing],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:+s:a],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:0's],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:03s:a],10,0.4
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:0ed],10,0.8
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:0ing],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:0s:a],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:=ed],10,0.7
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:=en],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:=s],10,0.8
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:allo],10,0.5
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:base:ed],10,0.8
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:base:en],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:base:er],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:base:est],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:base:s],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:irr:ed],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:irr:en],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:irr:s],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:sub:ed],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:sub:en],10,1.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:vsg:a],10,0.6
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:vun:a],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* s:r:der],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* s:r:gc:det],10,0.9
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* s:r:gc:pro],10,0.7
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* s:r:prep],10,0.8
acl_rr_exp2_abs_nonword_seed3407,holdout_generalization,[* m:++er],152,0.0
acl_rr_exp2_abs_nonword_seed3407,holdout_generalization,[* m:++est],144,0.0
acl_rr_exp2_abs_nonword_seed3407,holdout_generalization,[* m:0er],145,0.0
acl_rr_exp2_abs_nonword_seed3407,holdout_generalization,[* m:0est],150,0.0
acl_rr_exp2_abs_nonword_seed3407,test_coverage,[* m:++ed:i],10,0.9
acl_rr_exp2_abs_nonword_seed3407,test_coverage,[* m:++ed],10,0.7
acl_rr_exp2_abs_nonword_seed3407,test_coverage,[* m:++en:i],10,1.0
