label,code,count_in_data,manual_exact_hits,manual_relaxed_hits,manual_match
[* m:03s:a],m:03s:a,288,1,1,yes
[* m:irr:en],m:irr:en,231,1,1,yes
[* m:=ed],m:=ed,216,1,1,yes
[* s:r:gc:pro],s:r:gc:pro,205,1,1,yes
[* s:r:gc:det],s:r:gc:det,199,0,0,no
[* m:0ing],m:0ing,177,1,1,yes
[* m:allo],m:allo,169,1,1,yes
[* m:base:ed],m:base:ed,165,1,1,yes
[* s:r:prep],s:r:prep,165,1,1,yes
[* m:++en:i],m:++en:i,157,1,1,yes
[* s:r:der],s:r:der,156,1,1,yes
[* m:++er],m:++er,153,0,0,no
[* m:+ed],m:+ed,150,1,1,yes
[* m:0est],m:0est,150,0,0,no
[* m:0's],m:0's,148,1,3,yes
[* m:vsg:a],m:vsg:a,148,1,1,yes
[* m:+3s],m:+3s,147,2,2,yes
[* m:0er],m:0er,146,0,0,no
[* m:vun:a],m:vun:a,145,1,1,yes
[* m:++est],m:++est,144,0,0,no
[* m:++s:i],m:++s:i,144,1,1,yes
[* m:irr:s],m:irr:s,143,1,1,yes
[* m:++ed:i],m:++ed:i,133,1,1,yes
[* m:++s],m:++s,126,2,2,yes
[* s:r],s:r,119,9,9,yes
[* m:0s:a],m:0s:a,115,1,1,yes
[* m:++ed],m:++ed,107,2,2,yes
[* m:+s:a],m:+s:a,105,1,1,yes
[* m:0ed],m:0ed,105,1,1,yes
[* m:+ing],m:+ing,104,1,1,yes
[* m:irr:ed],m:irr:ed,103,1,1,yes
[* m:sub:en],m:sub:en,103,1,1,yes
[* m:=s],m:=s,101,1,1,yes
[* m:base:en],m:base:en,101,1,1,yes
[* m:+3s:a],m:+3s:a,100,1,1,yes
[* m:+en],m:+en,100,1,1,yes
[* m:=en],m:=en,100,1,1,yes
[* m:base:s],m:base:s,100,1,1,yes
[* m:sub:ed],m:sub:ed,100,1,1,yes
[* m:base:er],m:base:er,96,1,1,yes
[* m:base:est],m:base:est,95,1,1,yes
[* m:+s],m:+s,2,2,2,yes
