row_id,input,original_output,provenance_label,trace_method,trace_ambiguous,error_count,source_files
5015,and what happened ?,and what happened ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A2.cha']
4727,what's this ?,what's this ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
4152,and now the sandcastles is ruined .,and now the sandcastles is ruined .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/570_B1.cha']
4113,&-um sandcastle .,&-um sandcastle .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B1.cha']
4730,it's all fell down .,it's all fell down .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
6122,and see this man can t catch us .,and see this man can (no)t catch us .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A3.cha']
3819,and the rabbit and the dog see lots of balloons and lots .,and the rabbit and the dog see lots of balloons and lots .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/535_B3.cha']
6035,and see and this is done .,and see and this is done .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A1.cha']
4724,and &-um the man said he didn't have any money .,and &-um the man said he didn't have any money .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A0.cha']
3764,and more sand .,and more sand .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/568_B1.cha']
5075,and the box fell down .,and the box fell down .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/576_A0.cha']
4546,and thank you .,and thank you .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/413_A1.cha']
4974,they're fast !,they're fast !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A3.cha']
3453,that was a good one .,that was a good one .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B2.cha']
6145,and he got no blood .,and he got no blood .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/480_A2.cha']
3660,and he still has a tummyache !,and he still has a tummyache !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/576_B2.cha']
2160,then oh &+wa lots of balloons today .,then oh &+wa lots of balloons today .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/479_B3.cha']
4195,and a bunny his tummy hurts .,and a bunny his tummy hurts .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/413_B2.cha']
5016,he's hurt .,he's hurt .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/535_A2.cha']
4448,the airplane .,the airplane .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/529_A3.cha']
3248,and then it went down .,and then it went down .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B1.cha']
2562,and they all had two balloons .,and they all had two balloons .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/569_B3.cha']
4384,and over .,and over .,DLD,real_output_exact,False,0,"['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/413_A1.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/413_B3.cha']"
5624,elephant lose his eye .,elephant lose his eye.,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
4005,and then they see it .,and then they see it .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
4855,what's that sound ?,what's that sound ?,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/444_A3.cha']
4816,and the elephant fell .,and the elephant fell .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A2.cha']
3866,uhoh he dropped the balloons .,uhoh he dropped the balloons .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/527_B3.cha']
3970,I said juice .,I said juice .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/444_B2.cha']
4638,the elephant said wow !,the elephant said wow !,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/572_A1.cha']
5528,I can't remember .,I can't remember .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A0.cha']
4120,is all done .,is all done .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/427_B1.cha']
3247,and then the bunny put sand on and make it worse .,and then the bunny put sand on and make it worse .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/574_B1.cha']
5527,I can't remember this one .,I can't remember this one .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A0.cha']
5627,the elephant dropped the plane in the water .,the elephant dropped the plane in the water .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/420.cha']
4566,little boy bought the cookies .,little boy bought the cookies .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/529_A0.cha']
6610,she wants to get it and like her .,she wants to get it and like her .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/479_A1.cha']
5591,and there's one in the swimming pool .,and there's one in the swimming pool .,DLD,real_output_exact,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/574_A1.cha']
4142,oops sorry .,oops sorry .,DLD,real_output_exact,False,0,"['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/A_original/576_A3.cha', '/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/413_B1.cha']"
4023,and then the other one popped .,and then the other one popped .,DLD,real_input_clean,False,0,['/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data_original/B_original/572_B3.cha']
