run_name,split,gold_primary_tag,pred_primary_tag,n
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:03s:a],[* m:03s:a],22
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:03s:a],[* s:r:prep],1
acl_rr_exp1_direct_stage3_seed3407,test_real,[* m:0ed],[* s:r:gc:pro],1
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:03s:a],[* m:03s:a],6
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:03s:a],[* m:base:ed],2
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:0ed],[* m:0ed],8
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,[* m:0ed],[* m:base:ed],2
acl_rr_exp2_abs_nonword_seed3407,test_coverage,[* m:03s:a],[* m:03s:a],9
acl_rr_exp2_abs_nonword_seed3407,test_coverage,[* m:03s:a],[* s:r:der],1
acl_rr_exp2_abs_nonword_seed3407,test_coverage,[* m:0ed],[* m:0ed],9
acl_rr_exp2_abs_nonword_seed3407,test_real,[* m:03s:a],[* m:03s:a],22
acl_rr_exp2_abs_nonword_seed3407,test_real,[* m:03s:a],[* s:r:prep],1
acl_rr_exp2_abs_nonword_seed3407,test_real,[* m:0ed],[* m:03s:a],1
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,[* m:03s:a],[* m:03s:a],4
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,[* m:03s:a],[* m:base:ed],2
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,[* m:0ed],[* m:0ed],8
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,[* m:0ed],[* m:base:ed],2
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,[* m:03s:a],[* m:+3s],1
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,[* m:03s:a],[* m:03s:a],7
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,[* m:03s:a],[* m:base:ed],1
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,[* m:03s:a],[* s:r:der],1
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,[* m:0ed],[* m:0ed],8
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,[* m:0ed],[* m:base:ed],1
acl_rr_exp2_abs_off_no_recon_seed3407,test_real,[* m:03s:a],[* m:03s:a],21
acl_rr_exp2_abs_off_no_recon_seed3407,test_real,[* m:03s:a],[* s:r:prep],1
acl_rr_exp2_abs_off_no_recon_seed3407,test_real,[* m:0ed],[* s:r:gc:pro],1
acl_rr_exp2_abs_on_manual_seed3407,test_real,[* m:03s:a],[* m:03s:a],22
acl_rr_exp2_abs_on_manual_seed3407,test_real,[* m:03s:a],[* s:r:prep],1
acl_rr_exp2_abs_on_manual_seed3407,test_real,[* m:0ed],[* s:r:gc:pro],1
acl_rr_exp4_unseen_tags_seed3407,test_real,[* m:03s:a],[* m:03s:a],22
acl_rr_exp4_unseen_tags_seed3407,test_real,[* m:03s:a],[* s:r:prep],1
acl_rr_exp4_unseen_tags_seed3407,test_real,[* m:0ed],[* s:r:gc:pro],1
