row_id,split,source_group,error_count,trace_ambiguous,tags
292,train,synthetic,1,False,[* m:+ing]
8384,train,synthetic,1,False,[* m:++s:i]
7471,train,synthetic,1,False,[* m:0ed]
3316,train,TD,0,False,
2813,train,TD,0,False,
7604,train,synthetic,1,False,[* m:sub:ed]
2761,train,TD,0,False,
7105,train,synthetic,2,False,[* s:r:gc:pro]|[* m:++en:i]
7786,train,synthetic,1,False,[* m:+ed]
9165,train,synthetic,1,False,[* s:r:gc:pro]
6527,train,TD,0,False,
10209,train,synthetic,2,False,[* m:0ing]|[* m:0ing]
732,train,synthetic,1,False,[* m:vun:a]
194,train,synthetic,1,False,[* m:+3s:a]
7337,train,synthetic,1,False,[* m:base:s]
8589,train,synthetic,1,False,[* m:+s:a]
3054,train,TD,0,False,
8964,train,synthetic,1,False,[* m:base:en]
9565,train,synthetic,1,False,[* m:base:s]
8296,train,synthetic,1,False,[* m:irr:ed]
140,train,synthetic,1,False,[* m:+3s]
1000,train,synthetic,1,False,[* m:+s:a]
7622,train,synthetic,1,False,[* m:sub:ed]
1721,train,TD,1,False,[* s:r:gc:pro]
9800,train,synthetic,1,False,[* m:vsg:a]
431,train,synthetic,1,False,[* m:irr:ed]
7632,train,synthetic,1,False,[* m:sub:ed]
10497,train,synthetic,1,False,[* m:=en]
417,train,synthetic,1,False,[* m:irr:ed]
4001,train,TD,0,False,
3518,train,TD,0,False,
10282,train,synthetic,1,False,[* m:+ing]
1326,train,TD,1,False,[* m:vsg:a]
268,train,synthetic,1,False,[* m:+ing]
7601,train,synthetic,1,False,[* m:sub:ed]
1832,train,TD,1,False,[* m:=ed]
9091,train,synthetic,1,False,[* m:sub:en]
9507,train,synthetic,1,False,[* m:=s]
1559,train,TD,1,False,[* m:0ing]
2664,train,TD,0,False,
137,train,synthetic,1,False,[* m:+3s]
2372,train,DLD,0,False,
2566,train,TD,0,False,
4314,train,TD,0,False,
9829,train,synthetic,1,False,[* m:vsg:a]
9372,train,synthetic,1,False,[* m:0's]
4284,train,synthetic,0,False,
1220,train,synthetic,1,False,[* m:base:est]
9528,train,synthetic,1,False,[* m:=s]
3737,train,DLD,0,False,
1089,train,synthetic,1,False,[* m:++ed]
6272,train,TD,0,False,
7818,train,synthetic,1,False,[* m:+3s]
276,train,synthetic,1,False,[* m:+ing]
10469,train,synthetic,1,False,[* m:+en]
6914,train,synthetic,1,False,[* m:0s:a]
270,train,synthetic,1,False,[* m:+ing]
3240,train,TD,0,False,
6838,train,synthetic,1,False,[* s:r:gc:det]
3115,train,TD,0,False,
9751,train,synthetic,1,False,[* m:vun:a]
10252,train,synthetic,1,False,[* m:sub:ed]
7186,train,synthetic,1,False,[* m:0's]
9095,train,synthetic,1,False,[* m:++ed:i]
3830,train,TD,0,False,
8575,train,synthetic,1,False,[* m:+s:a]
8040,train,synthetic,1,False,[* s:r:der]
9580,train,synthetic,1,False,[* m:base:s]
4171,train,DLD,0,False,
2352,train,TD,0,False,
1924,train,TD,1,False,[* m:=ed]
8803,train,synthetic,1,False,[* s:r:prep]
8095,train,synthetic,1,False,[* s:r:der]
7631,train,synthetic,1,False,[* m:sub:ed]
7834,train,synthetic,1,False,[* m:+3s]
9036,train,synthetic,1,False,[* m:0s:a]
4237,train,TD,0,False,
587,train,synthetic,1,False,[* m:0ing]
8596,train,synthetic,1,False,[* m:+s:a]
6955,train,synthetic,1,False,[* m:sub:en]
6104,train,TD,0,False,
10406,train,synthetic,1,False,[* m:+en]
1083,train,synthetic,1,False,[* m:++ed]
2366,train,DLD,0,False,
443,train,synthetic,1,False,[* m:irr:ed]
7030,train,synthetic,1,False,[* m:++ed:i]
9334,train,synthetic,1,False,[* m:0's]
9042,train,synthetic,1,False,[* m:0s:a]
2802,train,TD,0,False,
4745,train,TD,0,False,
6063,train,TD,0,False,
9045,train,synthetic,1,False,[* m:sub:en]
1479,train,TD,1,False,[* m:allo]
5115,train,TD,0,False,
1693,train,TD,1,False,[* m:sub:en]
8077,train,synthetic,1,False,[* s:r:der]
6228,train,TD,0,False,
8539,train,synthetic,1,False,[* s:r:gc:det]
1879,train,synthetic,1,False,[* m:allo]
9337,train,synthetic,1,False,[* m:0's]
751,train,synthetic,1,False,[* m:vsg:a]
